CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,MaritalStatus,Complain,OrderCount,DaySinceLastOrder
50001,1,4,Mobile Phone,3,Debit Card,Female,3,3,2,Single,1,1,5
50002,1,,Phone,1,UPI,Male,3,4,3,Single,1,1,0
50003,1,,Phone,1,Debit Card,Male,2,4,3,Single,1,1,3
50004,1,0,Phone,3,Debit Card,Male,2,4,5,Single,0,1,3
50005,1,0,Phone,1,CC,Male,,3,5,Single,0,1,3
50006,1,0,Computer,1,Debit Card,Female,3,5,5,Single,1,6,7
50007,1,,Phone,3,Cash on Delivery,Male,2,3,2,Divorced,0,1,0
50008,1,,Phone,1,CC,Male,3,3,2,Divorced,1,2,0
50009,1,13,Phone,3,E wallet,Male,,4,3,Divorced,1,1,2
50010,1,,Phone,1,Debit Card,Male,2,5,3,Single,0,1,1
50011,1,4,Mobile Phone,1,Cash on Delivery,Female,2,3,3,Divorced,0,15,8
50012,1,11,Mobile Phone,1,Debit Card,Male,3,4,3,Single,1,1,0
50013,1,0,Phone,1,COD,Male,2,3,3,Single,1,2,2
50014,1,0,Phone,1,CC,Male,3,4,3,Divorced,1,1,0
50015,1,9,Mobile Phone,3,Credit Card,Male,3,4,2,Single,0,4,7
50016,1,,Phone,2,UPI,Male,3,3,5,Married,1,1,2
50017,1,0,Computer,1,Debit Card,Female,,4,2,Single,1,1,0
50018,1,0,Mobile Phone,3,E wallet,Male,2,4,3,Single,1,1,3
50019,1,0,Computer,1,Debit Card,Male,3,5,3,Single,1,1,6
50020,1,19,Mobile Phone,1,Debit Card,Female,3,3,4,Divorced,1,4,3
50021,1,0,Mobile Phone,3,Debit Card,Male,3,5,3,Divorced,1,7,7
50022,1,20,Mobile Phone,1,Credit Card,Female,3,3,2,Divorced,0,15,6
50023,1,,Mobile Phone,3,E wallet,Male,2,3,3,Single,1,1,0
50024,1,0,Phone,3,Debit Card,Female,3,5,3,Divorced,1,2,2
50025,1,14,Computer,1,Debit Card,Male,2,5,2,Single,0,1,3
50026,1,0,Phone,1,Credit Card,Female,2,3,5,Single,0,1,4
50027,0,8,Mobile Phone,3,E wallet,Male,3,3,4,Divorced,0,1,6
50028,0,,Phone,3,E wallet,Male,2,3,3,Divorced,1,4,5
50029,0,18,Phone,1,Debit Card,Male,2,3,4,Married,0,1,15
50030,0,5,Computer,3,E wallet,Female,2,3,2,Single,0,3,7
50031,0,2,Computer,1,COD,Male,2,3,3,Divorced,0,1,9
50032,0,0,Mobile Phone,1,Credit Card,Male,2,4,3,Divorced,0,1,0
50033,0,30,Phone,1,CC,Female,3,4,4,Divorced,1,1,0
50034,0,13,Mobile Phone,3,E wallet,Male,3,4,2,Divorced,0,2,11
50035,0,,Computer,3,E wallet,Female,3,3,3,Divorced,0,1,2
50036,0,0,Phone,1,CC,Male,3,3,2,Divorced,0,2,2
50037,0,,Computer,1,CC,Male,2,3,4,Married,0,2,2
50038,0,1,Phone,1,CC,Male,,3,2,Divorced,0,1,2
50039,0,30,Mobile Phone,1,Debit Card,Male,2,2,2,Married,1,1,4
50040,0,0,Computer,1,CC,Male,3,4,3,Married,1,1,1
50041,0,23,Mobile Phone,1,Debit Card,Female,2,3,4,Single,0,4,4
50042,0,14,Phone,1,Debit Card,Male,2,3,3,Married,0,1,8
50043,0,3,Mobile Phone,3,Debit Card,Female,2,3,2,Divorced,0,7,4
50044,0,11,Mobile Phone,3,Debit Card,Female,2,4,2,Single,0,1,1
50045,0,5,Phone,1,Debit Card,Male,,3,3,Single,0,1,4
50046,0,0,Phone,1,COD,Male,,3,4,Divorced,1,1,1
50047,1,0,Computer,3,COD,Female,3,5,5,Single,0,1,0
50048,0,,Computer,1,CC,Male,1,3,4,Single,0,7,2
50049,0,3,Computer,1,CC,Male,,3,5,Married,0,6,10
50050,0,18,Mobile Phone,3,Debit Card,Female,1,3,5,Married,1,1,3
50051,0,29,Phone,1,Debit Card,Female,3,3,5,Married,1,2,2
50052,0,6,Phone,1,Debit Card,Male,2,3,2,Single,0,1,2
50053,1,0,Mobile Phone,1,Debit Card,Male,2,4,2,Single,0,1,0
50054,0,19,Mobile Phone,3,E wallet,Female,3,3,5,Married,0,15,7
50055,0,,Phone,1,Debit Card,Female,3,3,2,Single,0,2,1
